CODIGO;SETOR ECONÔMICO;SUBSETOR;SEGMENTO;
CXSE;Financeiro;Previdência e Seguros;Seguradoras;
IRBR;Financeiro;Previdência e Seguros;Seguradoras;
PSSA;Financeiro;Previdência e Seguros;Seguradoras;
CSAB;Financeiro;Previdência e Seguros;Seguradoras;
SULA;Financeiro;Previdência e Seguros;Seguradoras;
APER;Financeiro;Previdência e Seguros;Corretoras de Seguros;
WIZS;Financeiro;Previdência e Seguros;Corretoras de Seguros;
ALSO;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
BRML;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
BRPR;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
CORR;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
CCPR;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
GSHP;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
HBTS;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
HBRE;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
IGBR;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
IGTA;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
JPSA;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
LOGG;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
MNZC;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
MULT;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
SCAR;Financeiro;Exploração de Imóveis;Exploração de Imóveis;
BBRK;Financeiro;Exploração de Imóveis;Intermediação Imobiliária;
LPSB;Financeiro;Exploração de Imóveis;Intermediação Imobiliária;
MOAR;Financeiro;Holdings Diversificadas;Holdings Diversificadas;
PEAB;Financeiro;Holdings Diversificadas;Holdings Diversificadas;
SIMH;Financeiro;Holdings Diversificadas;Holdings Diversificadas;
CTBA;Financeiro;Outros Títulos;Outros Títulos;
MCRJ;Financeiro;Outros Títulos;Outros Títulos;
PMSP;Financeiro;Outros Títulos;Outros Títulos;
QVQP;Outros;Outros;Outros;
ALEF;Outros;Outros;Outros;
ATOM;Outros;Outros;Outros;
BETP;Outros;Outros;Outros;
CABI;Outros;Outros;Outros;
CACO;Outros;Outros;Outros;
MAPT;Outros;Outros;Outros;
CMSA;Outros;Outros;Outros;
OPGM;Outros;Outros;Outros;
FIGE;Outros;Outros;Outros;
JBDU;Outros;Outros;Outros;
MGIP;Outros;Outros;Outros;
OPHE;Outros;Outros;Outros;
PPAR;Outros;Outros;Outros;
PRPT;Outros;Outros;Outros;
OPSE;Outros;Outros;Outros;
OPTS;Outros;Outros;Outros;
